ACCTCY-2010:  Introduction to Accounting
OC_THR-5999:  Problems in Occupational Therapy
OC_THR-6010:  Advanced Occupation Based Practice
OC_THR-6020:  Instructional Design and Application
OC_THR-6025:  Instructional Design Practicum
OC_THR-6030:  Occupational Therapy Practicum III
OC_THR-6040:  Capstone I - Project Planning A
OC_THR-6041:  Capstone I - Mentor Hour
OC_THR-6045:  Capstone I - Doctoral Capstone Project
OC_THR-6046:  Capstone II - Doctoral Capstone Experience
OC_THR-6110:  Advocacy and Quality Improvement
OC_THR-6120:  Professional Seminar
OC_THR-6130:  Occupational Therapy Practicum IV
OC_THR-6140:  Capstone II - Project Planning B
OC_THR-6141:  Capstone II - Mentor Hour
OC_THR-6190:  Health Professions Educator
OC_THR-6191:  Community Engagement in Health Professions
OC_THR-6192:  Research in Occupational Therapy
OC_THR-6193:  Complex Adaptive Leadership
OC_THR-6210:  Capstone III - Doctoral Capstone Experience
OC_THR-7085:  Problems in Occupational Therapy
OPHTH-6050:  SCC Introduction to Ophthalmology
OPHTH-6323:  ABS  Ophthalmology Research
OPHTH-6585:  Ophthalmology
OPHTH-6903:  SCC Ophthalmology Two-Week Elective
OPHTH-6936:  Introduction to Ophthalmology
OPHTH-6969:  Springfield Ophthalmology Surgical Selective
OPHTH-6990:  Ophthalmology Surgical Selective
PRST-1010:  Introduction to Sport, Recreation, and Tourism
PRST-1011:  Academic Planning and Career Orientation in Parks, Recreation, Sport and Tourism
PRST-1081:  Sport Facility Design
PRST-1084:  Recreational Shooting Sports
PRST-2010:  Sport Management
PRST-2060:  Tourism Management
PRST-2080:  Global Sport Environments
PRST-2082:  Domestic and International Sports Environment
PRST-2083:  Technological Advancement in Sport
PRST-2101:  Topics in Parks, Recreation, Sports and Tourism
PRST-2101W:  Topics in Parks, Recreation, Sports and Tourism - Writing Intensive
PRST-2107:  Aquatics Science
PRST-2111:  Park Planning and Design
PRST-2115:  Practicum Experience
PRST-2120:  Trending: Sport and Recreation
PRST-2281:  Business of Sport and Recreation
PRST-2355:  Private and Commercial Recreation and Sport
PRST-2711:  Experience Internship
PRST-2750:  Methods in Research and Evaluation
PRST-3080:  Principles and Practices of Coaching Sport
PRST-3081:  Sport Officiating
PRST-3082:  Philosophies of Coaching and Officiating
PRST-3101:  Topics in Parks, Recreation and Tourism
PRST-3115:  Practicum Experience
PRST-3185:  Sports Economics and Finance
PRST-3185H:  Sports Economics and Finance - Honors
PRST-3189:  Pre-Internship and Career Development Seminar
PRST-3210:  Personnel Management and Leadership
PRST-3210W:  Personnel Management and Leadership - Writing Intensive
PRST-3215:  Program and Event Development
PRST-3215W:  Program and Event Development - Writing Intensive
PRST-3220:  Introduction to Recreation for Individuals with Disabilities
PRST-3230:  Outdoor Recreation Policy
PRST-3230W:  Outdoor Recreation Policys - Writing Intensive
PRST-3231:  Interpretation of Natural and Cultural Resources
PRST-3282:  Governance and Policy in Sport
PRST-3400:  Sport and Recreation Marketing
PRST-4100:  Ethics and Diversity
PRST-4101:  Topics in Parks, Recreation and Tourism
PRST-4150:  Contemporary Issues in Sport
PRST-4208:  Administration and Organizational Behavior
PRST-4250:  Parks, Health and Wellness
PRST-4260:  Sustainable Tourism
PRST-4310:  Fundraising and Grants Proposal Writing
PRST-4333:  Park and Sport Facility Operations
PRST-4340:  Recreation Land Management
PRST-4350:  Problems in Parks, Recreation, Sport and Tourism
PRST-4357:  Domestic and International Tourism: Resources, Market, and Impacts
PRST-4385:  Legal Aspects of Sport
PRST-4711:  Sales and Sponsorships
PRST-4712:  Crisis and Risk Management
PRST-4940:  Parks, Recreation, Sport and Tourism Internship
PRST-4945:  Experiential Learning in Industry Internship in Parks, Recreation, Sports and Tourism
PRST-4949:  Western Canada Study Abroad
PRST-4950:  Undergraduate Research in Parks, Recreation, Sports and Tourism
PRST-7100:  Ethics and Diversity
PRST-7101:  Topics in Parks, Recreation and Sport
PRST-7150:  Contemporary Issues in Sport
PRST-7208:  Administration and Organizational Behavior
PRST-7250:  Parks, Health and Wellness
PRST-7260:  Sustainable Tourism
PRST-7310:  Fundraising and Grants Proposal Writing
PRST-7333:  Park and Sport Facility Operations
PRST-7340:  Recreation Land Management
PRST-7357:  Domestic and International Tourism: Resources, Market, and Impacts
PRST-7385:  Legal Aspects of Sport
PRST-7960:  Guided Reading in Parks, Recreation, Sport and Tourism
PRST-8080:  Foundations of Sport
PRST-8088:  Sport and Leisure Economics
PRST-8089:  Research Project
PRST-8090:  Thesis Research in Parks, Recreation, Sport and Tourism
PRST-8400:  Constructs of Leisure
PRST-8401:  Topics in Recreation and Park Administration
PRST-8411:  Independent Work in Parks, Recreation, Sport and Tourism
PRST-8430:  Social and Behavioral Research Methods
PRST-8436:  Visitor Behavior and Policy
PRST-8450:  Administration in Leisure Service Delivery
PRST-8460:  Finance of Sport, Tourism, and Leisure Services
PRST-8940:  Internship in Parks, Recreation and Tourism
PTH_AS-2201:  Human Anatomy Lecture
PTH_AS-2203:  Human Anatomy Laboratory
PTH_AS-2203H:  Human Anatomy Laboratory - Honors
PTH_AS-3460:  Research and Instructional Techniques
PTH_AS-4210:  Seminar in Pathology and Anatomical Sciences
PTH_AS-4220:  Forensic Pathology and Death Investigation
PTH_AS-4220H:  Forensic Pathology and Death Investigation - Honors
PTH_AS-4220HW:  Forensic Pathology and Death Investigation - Honors/Writing Intensive
PTH_AS-4220W:  Forensic Pathology and Death Investigation - Writing Intensive
PTH_AS-4222:  Gross Human Anatomy (The Health Professions)
PTH_AS-4222H:  Gross Human Anatomy (The Health Professions) - Honors
PTH_AS-6033:  SCC ABS Surgical Anatomy
PTH_AS-6331:  ABS Advanced Medical Neurosciences
PTH_AS-6333:  ABS Pathology/Anatomical Science Research
PTH_AS-6341:  ABS Science Anatomical Science Teaching
PTH_AS-6343:  ABS Surgical Anatomy
PTH_AS-6345:  ABS Surgical Anatomy of the Head and Neck
PTH_AS-6347:  ABS Surgical Anatomy of the Back and Limbs
PTH_AS-6600:  Anatomic Pathology
PTH_AS-6601:  Springfield Anatomic Clinical Pathology Elective 4 WK
PTH_AS-6602:  Clinical Pathology
PTH_AS-6604:  Forensic Pathology
PTH_AS-6606:  Anatomic/Clinical Pathology
PTH_AS-6608:  Anatomy Elective
PTH_AS-6900:  Springfield Anatomic Clinical Pathology 2 WK
PTH_AS-6916:  Anatomic Pathology Two-Week
PTH_AS-7020:  Forensic Pathology and Death Investigation
PTH_AS-7222:  Gross Human Anatomy (The Health Professions)
PTH_AS-7400:  Seminars in Translational Medicine
PTH_AS-7450:  Precision Medicine Informatics
PTH_AS-8010:  Current Issues in Anatomical Sciences
PTH_AS-8090:  Advanced Pathology
PTH_AS-8100:  Fundamentals of Evolutionary Biology
PTH_AS-8150:  Fundamentals of Evolutionary Morphology
PTH_AS-8201:  Human Anatomy: Back and Upper Limb
PTH_AS-8202:  Human Anatomy: Thorax and Abdomen
PTH_AS-8203:  Human Anatomy: Head, Neck and Neuroanatomy
PTH_AS-8204:  Human Anatomy: Pelvis and Lower Limb
PTH_AS-8285:  Problems in Pathology and Anatomical Sciences
PTH_AS-8290:  Research in Pathology and Anatomical Sciences
PTH_AS-8450:  Human Anatomy Teaching Practicum
PTH_AS-8500:  Seminar in Translational Neuroscience
PTH_AS-8640:  Quantitative Methods in Life Sciences
PTH_AS-8642:  Quantitative Methods in Life Sciences II
PTH_AS-9090:  Research in Pathology and Anatomical Sciences
PTH_AS-9290:  Research in Pathology and Anatomical Sciences
PEA_ST-1050:  Introduction to Peace Studies
PEA_ST-1050HW:  Introduction to Peace Studies - Honors/Writing Intensive
PEA_ST-1050W:  Introduction to Peace Studies - Writing Intensive
PEA_ST-1051:  International Conflict Resolution and Group Reconciliation
PEA_ST-1051W:  International Conflict Resolution and Group Reconciliation - Writing Intensive
PEA_ST-1052:  Global Warming, Climate Change, Catastrophic Climate Destabilization
PEA_ST-1052W:  Global Warming, Climate Change, Catastrophic Climate Destabilization - Writing Intensive
PEA_ST-1120:  Population, Environment and Sustainability
PEA_ST-2000:  Exploration in Social and Economic Justice
PEA_ST-2000W:  Exploration in Social and Economic Justice - Writing Intensive
PEA_ST-2003:  Topics in Peace Studies: Behavioral Science
PEA_ST-2003W:  Topics in Peace Studies: Behavioral Science - Writing Intensive
PEA_ST-2004:  Topics in Peace Studies - Social Sciences
PEA_ST-2004W:  Topics in Peace Studies - Social Sciences - Writing Intensive
PEA_ST-2005:  Topics in Peace Studies - Humanities
PEA_ST-2005H:  Topics in Peace Studies - Humanities - Honors
PEA_ST-2005HW:  Topics in Peace Studies - Humanities - Honors/Writing Intensive
PEA_ST-2005W:  Topics in Peace Studies - Humanities - Writing Intensive
PEA_ST-2016:  Authoritarian Societies, States, and the Prospects for Democracy
PEA_ST-2016H:  Authoritarian Societies, States, and the Prospects for Democracy - Honors
PEA_ST-2016W:  Authoritarian Societies, States, and the Prospects for Democracy - Writing Intensive
PEA_ST-2021:  The U.S. - Afghanistan War
PEA_ST-2021W:  The U.S. - Afghanistan War - Writing Intensive
PEA_ST-2022:  Afghanistan, Central Asia, and the "Great Powers"
PEA_ST-2022H:  Afghanistan, Central Asia, and the "Great Powers" - Honors
PEA_ST-2100:  The Vietnam and Iraq Wars: Lessons for the Future
PEA_ST-2140:  ART: Visual Culture and The Iconography of Social Intent
PEA_ST-2150:  Amish Community
PEA_ST-2150W:  Amish Community - Writing Intensive
PEA_ST-2182:  Critical Dialogues: Nonviolence in Peace/Democracy Movements
PEA_ST-2182W:  Critical Dialogues: Nonviolence in Peace/Democracy Movements - Writing Intensive
PEA_ST-2200:  Nuclear Weapons: Environmental, Health and Social Effects
PEA_ST-2200W:  Nuclear Weapons: Environmental, Health and Social Effects-Writing Intensive
PEA_ST-2220:  America in the 1960's
PEA_ST-2255:  Youth, Islam, and Global Cultures
PEA_ST-2280:  Race, Democracy, and Violence in Cuba and Haiti
PEA_ST-2280W:  Race, Democracy, and Violence in Cuba and Haiti - Writing Intensive
PEA_ST-2285:  Large Corporations, Economic Crisis, Social Responsibility
PEA_ST-2286:  Technological Futures, National Security, and Civil Liberties
PEA_ST-2286W:  Technological Futures, National Security, and Civil Liberties - Writing Intensive
PEA_ST-2287:  Conspiracies, Popular Imagination, Evidence
PEA_ST-2287W:  Conspiracies, Popular Imagination, Evidence - Writing Intensive
PEA_ST-2288:  Sports, Protest Movements, and Conflict Resolution
PEA_ST-2288W:  Sports, Protest Movements, and Conflict Resolution - Writing Intensive
PEA_ST-2289:  Towns in Missouri and the Midwest: Voices and Inequalities
PEA_ST-2289W:  Towns in Missouri and the Midwest: Voices and Inequalities - Writing Intensive
PEA_ST-2290:  Drugs, Violence and the Police in Latin America and Latina/o Communities in the United States
PEA_ST-2291:  Artificial Intelligence Big Data: Social, Political, Ethical Issues
PEA_ST-2291W:  Artificial Intelligence Big Data: Social, Political, Ethical Issues - Writing intensive
PEA_ST-2292:  Internet Identities, and the Clash of Global Countercultures and Oppositional Cultures
PEA_ST-2293:  Globalization, Identity and Citizenship
PEA_ST-2293W:  Globalization, Identity and Citizenship - Writing Intensive
PEA_ST-2294:  Public Health, Social Justice, Health Activism
PEA_ST-2294W:  Public Health, Social Justice, Health Activism - Writing Intensive
PEA_ST-2320:  Literature of Spanish Civil War
PEA_ST-2321:  Germany in War and Peace: Division and Unity 1945-89
PEA_ST-2322:  Rise of Hitler: Politics and Society in Germany
PEA_ST-2410:  Philosophies of War and Peace
PEA_ST-2410W:  Philosophies of War and Peace - Writing Intensive
PEA_ST-2490:  Introduction to Indigenous Literatures
PEA_ST-2550:  Human Rights, Law, War and Peace
PEA_ST-2560:  Modern Military History
PEA_ST-2600:  CAFO: Concentrated Animals, Deep Ecology
PEA_ST-2600W:  CAFO: Concentrated Animals, Deep Ecology - Writing Intensive
PEA_ST-3003:  Topics in Peace Studies - Behavioral Science
PEA_ST-3005:  Topics in Peace Studies - Humanities
PEA_ST-3005H:  Topics in Peace Studies - Humanities - Honors
PEA_ST-3022:  Peacebuilding and Peacemaking in the Modern Caribbean
PEA_ST-3130:  Foreigners and Dangerous Women in Greek and Latin Literature
PEA_ST-3130W:  Foreigners and Dangerous Women in Greek and Latin Literature - Writing Intensive
PEA_ST-3140:  Art of War and Peace
PEA_ST-3230H:  Terrorism and Conflict Resolution - Honors
PEA_ST-3280:  Internship in Peace Studies
PEA_ST-3330:  Environmental Justice
PEA_ST-3350:  Readings in Peace Studies
PEA_ST-3400:  Fake News and Media Politics
PEA_ST-3400W:  Fake News and Media Politics - Writing Intensive
PEA_ST-3401:  Global Public Health and Health Care Systems
PEA_ST-3450:  Transnational and Migrant Cinema
PEA_ST-3496:  Digital Indigenous Studies
PEA_ST-3496H:  Digital Indigenous Studies - Honors
PEA_ST-3496W:  Digital Indigenous Studies - Writing Intensive
PEA_ST-3510:  Think Global: Fundamentals of Globalization and Digital Technologies
PEA_ST-3510HW:  Think Global: Fundamentals of Globalization and Digital Technologies - Honors - Writing Intensive
PEA_ST-3510W:  Think Global: Fundamentals of Globalization and Digital Technologies - Writing Intensive
PEA_ST-3520:  Collective Behavior
PEA_ST-3520W:  Collective Behavior - Writing Intensive
PEA_ST-3521:  Group Decision Making Processes
PEA_ST-3522:  New Media, Conflict and Control
PEA_ST-3600:  Criminology
PEA_ST-3780:  World Political Geography
PEA_ST-3870:  Social Revolution in Latin America
PEA_ST-4003:  Topics in Peace Studies - Behavioral Sciences
PEA_ST-4005:  Topics in Peace Studies: Humanities
PEA_ST-4005H:  Topics in Peace Studies: Humanities - Honors
PEA_ST-4005W:  Topics in Peace Studies: Humanities - Writing Intensive
PEA_ST-4080:  American Foreign Policy from Colonial Times to 1898
PEA_ST-4230:  Women, Development and Globalization
PEA_ST-4240:  Theory and Practice of Theatre of the Oppressed
PEA_ST-4260:  The Age of Ascendancy: U.S. Foreign Relations, 1945-Present
PEA_ST-4287:  Empire: Intellectual History, Literature, and Society
PEA_ST-4288:  Law and Society: Corporate and White Collar Crime and Malfeasance
PEA_ST-4331:  Nonproliferation Issues for Weapons of Mass Destruction
PEA_ST-4331W:  Nonproliferation Issues for Weapons of Mass Destruction - Writing Intensive
PEA_ST-4410:  Politics and War
PEA_ST-4520:  Political Sociology
PEA_ST-4550:  Gender and Human Rights in Cross Cultural Perspective
PEA_ST-4600:  Political and Social Philosophy
PEA_ST-4685:  The Holocaust
PEA_ST-4810:  Case Studies in an Inter/Multicultural World
PEA_ST-4850:  Revolution and Media in a Global Perspective
PEA_ST-4865H:  The Holocaust - Honors
PEA_ST-4970:  Senior Thesis I
PEA_ST-4980:  Peace Studies Abroad - Social Sciences
PEA_ST-7240:  Theory and Practice of Theatre of the Oppressed
PEA_ST-7287:  Empire: Intellectual History, Literature, and Society
PEA_ST-7288:  Law and Society: Corporate and White Collar Crime and Malfeasance
PEA_ST-7550:  Gender and Human Rights in Cross Cultural Perspective
PEA_ST-7685:  The Holocaust
PEA_ST-7980:  Peace Studies Abroad
FINPLN-1000:  iGen Money
FINPLN-1183:  Financial Survival
FINPLN-2083:  Financial Planning Careers
FINPLN-2183:  Personal and Family Finance
FINPLN-2183H:  Personal and Family Finance - Honors
FINPLN-3282:  Financial Counseling
FINPLN-3283:  Financial Planning: Computer Applications
FINPLN-4000:  Problems in Personal Financial Planning
FINPLN-4187:  Financial Planning: Tax Planning
FINPLN-4188:  Community Agencies and Volunteerism
FINPLN-4380:  Assessing the American Dream
FINPLN-4380W:  Assessing the American Dream - Writing Intensive
FINPLN-4381:  Securities Industry Essentials
FINPLN-4382:  Financial Planning: Risk Management
FINPLN-4383:  Financial Planning: Investment Management
FINPLN-4386:  Financial Planning: Employee Benefits and Retirement Planning
FINPLN-4387:  Consumer and Household Economics
FINPLN-4389:  Financial Planning: Capstone
FINPLN-4393:  Financial Planning: Estate and Gift Planning
FINPLN-4418:  Topics in Personal Financial Planning
FINPLN-4483:  Financial Success
FINPLN-4992:  Readings in Personal Financial Planning
FINPLN-4993:  Internship in Personal Financial Planning
FINPLN-7000:  Problems in Personal Financial Planning
FINPLN-7001:  Topics in Household Economics and Finance
FINPLN-7183:  Fundamentals of Personal Financial Planning
FINPLN-7187:  Financial Planning:  Tax Planning
FINPLN-7282:  Advanced Financial Counseling
FINPLN-7380:  Assessing the American Dream
FINPLN-7381:  Securities Industry Essentials
FINPLN-7382:  Financial Planning: Risk Management
FINPLN-7383:  Financial Planning: Investment Management
FINPLN-7386:  Financial Planning: Employee Benefits and Retirement Planning
FINPLN-7387:  Consumer and Household Economics II
FINPLN-7389:  Financial Planning: Capstone
FINPLN-7393:  Financial Planning: Estate and Gift Planning
FINPLN-7960:  Readings in Household Economics and Finance
FINPLN-7993:  Internship in Personal Financial Planning
FINPLN-8001:  Topics in Personal Financial Planning
FINPLN-8085:  Problems in Household Economics and Finance
FINPLN-8087:  Seminar in Household Economics and Finance
FINPLN-8090:  Master's Thesis Research in Personal Financial Planning
FINPLN-8183:  Military Personal Financial Readiness
FINPLN-8187:  Professional Practices in Financial Planning
FINPLN-8381:  Theories and Research in Personal Financial Planning I
FINPLN-8382:  Theories and Research in Personal Financial Planning II
FINPLN-8384:  Advanced Risk Management
FINPLN-8385:  Housing and Real Estate
FINPLN-8389:  Financial Planning Case Studies
FINPLN-8450:  Applied Research in Household Economics and Planning
FINPLN-8488:  Household Financial Decision Making
FINPLN-8500:  Advanced Projects in Personal Financial Planning
FINPLN-9090:  Doctoral Dissertation Research in Personal Financial Planning
PHIL-1000:  The Big Questions: An Introduction to Philosophy
PHIL-1000H:  The Big Questions: An Introduction to Philosophy - Honors
PHIL-1100:  The Difference Between Right and Wrong: An Introduction to Ethics
PHIL-1100H:  The Difference Between Right and Wrong: An Introduction to Ethics - Honors
PHIL-1150:  Introductory Bioethics
PHIL-1150H:  Introductory Bioethics - Honors
PHIL-1159:  Blind Spots
PHIL-1200:  How to Think: Logic and Reasoning for Everyday Life
PHIL-1200H:  How to Think: Logic and Reasoning for Everyday Life - Honors
PHIL-2005:  Topics in Philosophy-Humanities
PHIL-2010:  The Philosophy of Film
PHIL-2100:  Philosophy: East and West
PHIL-2150:  Philosophy of Race
PHIL-2200:  Philosophy and Intellectual Revolution
PHIL-2300:  Philosophy and Human Nature
PHIL-2350:  The Meaning of Life
PHIL-2400:  Ethics and the Professions
PHIL-2410:  Philosophies of War and Peace
PHIL-2410W:  Philosophies of War and Peace - Writing Intensive
PHIL-2420:  Ethical Issues in Business
PHIL-2430:  Contemporary Moral Issues
PHIL-2440:  Medical Ethics
PHIL-2500:  Philosophy and Gender
PHIL-2500H:  Philosophy and Gender - Honors
PHIL-2600:  Rational Decisions
PHIL-2700:  Elementary Logic
PHIL-2820:  Minds, Brains, and Machines
PHIL-2850:  Minds and Morals: An Introduction to Moral Psychology
PHIL-2900:  Environmental Ethics
PHIL-2900H:  Environmental Ethics - Honors
PHIL-3000:  Ancient Western Philosophy
PHIL-3000W:  Ancient Western Philosophy - Writing Intensive
PHIL-3100:  Medieval Philosophy
PHIL-3200:  Modern Philosophy
PHIL-3200W:  Modern Philosophy - Writing Intensive
PHIL-3400:  19th Century Philosophy
PHIL-3500:  Existentialism
PHIL-3600:  20th Century Philosophy
PHIL-3700:  Selected Modern Philosophers
PHIL-3800:  Selected Contemporary Philosophers
PHIL-4001:  Topics in Philosophy-General
PHIL-4005:  Topics in Philosophy-Humanities
PHIL-4100:  Philosophy of Language
PHIL-4100W:  Philosophy of Language - Writing Intensive
PHIL-4110:  Advanced Logic
PHIL-4120:  Selected Topics in Logic
PHIL-4130:  Probability and Induction
PHIL-4150:  Formal Semantics
PHIL-4200:  Metaphysics
PHIL-4200H:  Metaphysics - Honors
PHIL-4210:  Philosophy of Mind
PHIL-4210W:  Philosophy of Mind - Writing Intensive
PHIL-4220:  Philosophy of Religion
PHIL-4220H:  Philosophy of Religion - Honors
PHIL-4220HW:  Philosophy of Religion - Honors/Writing Intensive
PHIL-4220W:  Philosophy of Religion - Writing Intensive
PHIL-4300:  Epistemology
PHIL-4400:  Philosophy of Science
PHIL-4400W:  Philosophy of Science - Writing Intensive
PHIL-4410:  Philosophy of History
PHIL-4420:  Philosophy of Biology
PHIL-4500:  Theories of Ethics
PHIL-4500W:  Theories of Ethics - Writing Intensive
PHIL-4600:  Political and Social Philosophy
PHIL-4610:  Philosophy of Law
PHIL-4620:  Marxism
PHIL-4700:  Art, Beauty, and the Brain: An Introduction to Aesthetics
PHIL-4700W:  Art, Beauty, and the Brain: An Introduction to Aesthetics - Writing Intensive
PHIL-4800:  Asian Philosophy
PHIL-4810:  Philosophy of India
PHIL-4850:  Special Readings in Philosophy
PHIL-4950:  Senior Seminar in Philosophy
PHIL-4950W:  Senior Seminar in Philosophy - Writing Intensive
PHIL-4998:  Honors I in Philosophy
PHIL-4999:  Honors II in Philosophy
PHIL-7100:  Philosophy of Language
PHIL-7110:  Advanced Logic
PHIL-7120:  Selected Topics in Logic
PHIL-7130:  Probability and Induction
PHIL-7150:  Formal Semantics
PHIL-7210:  Philosophy of Mind
PHIL-7220:  Philosophy of Religion
PHIL-7300:  Epistemology
PHIL-7400:  Philosophy of Science
PHIL-7410:  Philosophy of History
PHIL-7500:  Theories of Ethics
PHIL-7600:  Political and Social Philosophy
PHIL-7610:  Philosophy of Law
PHIL-7620:  Marxism
PHIL-7700:  Art, Beauty, and the Brain: An Introduction to Aesthetics
PHIL-7810:  Philosophy of India
PHIL-7850:  Special Readings in Philosophy
PHIL-8090:  Research in Philosophy
PHIL-8100:  Protoseminar in Philosophy
PHIL-8210:  Teaching of Philosophy I
PHIL-8300:  Dissertation Seminar
PHIL-8510:  Metaphysics: A Survey
PHIL-8520:  Philosophy of Mind:  A Survey
PHIL-8530:  Epistemology:  A Survey
PHIL-8540:  Philosophy of Language: A Survey
PHIL-9001:  Topics in Philosophy
PHIL-9030:  Topics in Modern Philosophy: 17th-19th Centuries
PHIL-9050:  Plato
PHIL-9060:  Aristotle
PHIL-9090:  Research in Philosophy
PHIL-9110:  The Rationalists
PHIL-9120:  The Empiricists
PHIL-9130:  Kant
PHIL-9240:  Russell and Wittgenstein
PHIL-9320:  Social and Political Philosophy
PHIL-9350:  History of Eastern Ethics
PHIL-9510:  Decision Theory
PHIL-9520:  Ethical Theory
PHIL-9610:  Metaphysics
PHIL-9710:  Philosophy of Mind and Psychology
PHIL-9720:  Foundations of Cognitive Science
PHIL-9820:  Epistemology
PHIL-9830:  Philosophy of Science
PHIL-9840:  Philosophy of Language
PHIL-9850:  Philosophy of Biology
PHIL-9887:  Seminar in Logic
PHIL-9901:  Seminar in Philosophy
PM_REH-6615:  Physical Medicine and Rehabilitation
PM_REH-6915:  Rehabilitation of Musculoskeletal and Neurologic Diseases
PH_THR-1000:  Introduction to Physical Therapy
PH_THR-4250:  Human Kinesiology
PH_THR-4420:  Foundations of Therapeutic Exercise
PH_THR-5100:  Introduction to Interprofessional Practice
PH_THR-5110:  Fundamentals of Physical Therapy
PH_THR-5200:  Problems in Physical Therapy
PH_THR-5210:  Applied Neurophysiology for Allied Health Students
PH_THR-5220:  Biophysical Agents
PH_THR-5230:  Clinical Evaluation and Procedures
PH_THR-5240:  Foundations of Therapeutic Exercise
PH_THR-5250:  Human Kinesiology
PH_THR-5260:  Introduction to Clinical Education and PhysZOU I
PH_THR-5310:  Applied Therapeutic Exercise
PH_THR-5320:  Clinical Kinesiology
PH_THR-5330:  Clinical Pathophysiology
PH_THR-5340:  Introduction to Clinical Education and PhysZOU II
PH_THR-5350:  Introduction to Orthopedic Physical Therapy
PH_THR-5360:  Pharmacology in Rehabilitation
PH_THR-6000:  Topics in Physical Therapy
PH_THR-6010:  Problems in Physical Therapy
PH_THR-6410:  Clinical Education I
PH_THR-6510:  Differential Diagnosis in Physical Therapy
PH_THR-6520:  Evidence-Based Practice
PH_THR-6530:  Orthopedic Physical Therapy
PH_THR-6540:  Pediatric Physical Therapy
PH_THR-6550:  PhysZOU III
PH_THR-6560:  Rehabilitation of the Neurologically Impaired Adult
PH_THR-6610:  Assessment and Neuropsychology of Pain
PH_THR-6620:  Case Management: Acute and Chronic Medical and Surgical Conditions
PH_THR-6630:  Clinical Education II
PH_THR-6640:  Diagnostic Imaging in Rehabilitation
PH_THR-6650:  PHYSZOU IV
PH_THR-6660:  Psychosocial Issues for Health Promotion
PH_THR-6710:  Case Management: Neurological Impairments Across the Lifespan
PH_THR-6810:  Case Management: Geriatrics and Orthopedics
PH_THR-6820:  Clinical Education III
PH_THR-6830:  Health Policy and Leadership in Physical Therapy
PH_THR-6840:  PhysZOU V
PH_THR-6850:  Professional Issues
PH_THR-6910:  Clinical Education IV
PH_THR-6920:  PhysZOU VI And Professional Development Plan
PH_THR-6930:  Seminar in Physical Therapy
PH_THR-6940:  Special Skills in Physical Therapy
PH_THR-7250:  Human Kinesiology
PH_THR-7420:  Foundations of Therapeutic Exercise
PH_THR-7550:  Psychosocial Issues for Health Promotion
PH_THR-7850:  Assessment and Neuropsychology of Pain
PHYSCS-1007:  Topics in Physics and Astronomy - Physical Science
PHYSCS-1050:  Concepts in Cosmology
PHYSCS-1100:  Science and Inventions
PHYSCS-1150:  Concepts in Physics
PHYSCS-1200:  Everyday Wonders: Explaining How Ordinary Things Work
PHYSCS-1210:  College Physics I
PHYSCS-1220:  College Physics II
PHYSCS-1220H:  College Physics II - Honors
PHYSCS-2002:  Topics in Physics and Astronomy- Biological Science
PHYSCS-2002H:  Topics in Physics and Astronomy- Biological Science - Honors
PHYSCS-2007:  Topics in Physics and Astronomy- Physical Science
PHYSCS-2007H:  Topics in Physics and Astronomy- Physical Science - Honors
PHYSCS-2010:  Undergraduate Seminar in Physics
PHYSCS-2200:  Life and the Universe
PHYSCS-2330:  Exploring the Principles of Physics
PHYSCS-2500:  The Beautiful Invisible: Exploring Physics, Fiction, and Reality
PHYSCS-2750:  University Physics I
PHYSCS-2750H:  University Physics I - Honors
PHYSCS-2760:  University Physics II
PHYSCS-2760H:  University Physics II - Honors
PHYSCS-3002:  Topics in Physics and Astronomy - Biological Science
PHYSCS-3007:  Topics in Physics and Astronomy -Physical Science
PHYSCS-3010:  Introduction to Modern Astrophysics
PHYSCS-3100:  Teaching Physics
PHYSCS-3150:  Introduction to Modern Physics
PHYSCS-3150W:  Introduction to Modern Physics - Writing Intensive
PHYSCS-3200:  Physics of Space Explorations
PHYSCS-3500:  Physics of Energy in Technology
PHYSCS-3700:  Introduction to Methods in Mathematical Physics
PHYSCS-4020:  Astrophysical Techniques
PHYSCS-4050:  Electronic Laboratory
PHYSCS-4060:  Advanced Physics Laboratory I
PHYSCS-4080:  Major Themes in Classical Physics
PHYSCS-4080W:  Major Themes in Classical Physics - Writing Intensive
PHYSCS-4100:  Electricity and Magnetism I
PHYSCS-4102:  Topics on Physics and Astronomy-Biological/Physical/Mathematics
PHYSCS-4110:  Light and Modern Optics
PHYSCS-4120:  Introduction to Thermodynamics
PHYSCS-4140:  Mechanics
PHYSCS-4180:  Solar System Science
PHYSCS-4190:  Physics and Chemistry of Materials
PHYSCS-4210:  Contributions to Science from Under-represented Groups
PHYSCS-4250:  Stellar Astrophysics
PHYSCS-4350:  Galactic Astronomy
PHYSCS-4360:  Extragalactic Astronomy
PHYSCS-4390:  Problems in Physics
PHYSCS-4400:  The Physics of Electronic Devices
PHYSCS-4410:  Analysis of Biological Macromolecules and Biomaterials
PHYSCS-4420:  Introduction to Biomedical Imaging
PHYSCS-4450:  Introduction to Cosmology
PHYSCS-4460:  Interstellar Medium
PHYSCS-4500:  Computational Biological Physics
PHYSCS-4510:  Single Molecule Biophysics
PHYSCS-4520:  Introduction to Biophysics
PHYSCS-4550:  Cosmochemistry
PHYSCS-4600:  Semiconductor Optics
PHYSCS-4620:  Introduction to Materials Science
PHYSCS-4650:  Modern Condensed Matter Physics
